company,occupation,location,edu_ask,scal,detail
['上海越赟商务信息咨询有限公司'],['新媒体运营'],['上海 '],['不限'],['\ued02人'],"['<div class=""nav-fs"">\n</div>\n', '<div class=""in-detail cutom_font&#xA0;""><p>&#13;\n\t1、熟悉各类热门线上媒体 推荐规则，建立完整、有效的自媒体运营体系，完成新媒体矩阵的搭建，完成新媒体运营指标；&#13;\n</p>&#13;\n<p>&#13;\n\t2、<span style=""color:#333333;font-size:14px;background-color:#ffffff;"">负责线上运营的日常管理工作，内容策划、信息搜集、媒体平台运营数据分析等，<span style=""color:#333333;font-size:14px;background-color:#ffffff;"">搜索引擎优化，<span style=""color:#333333;font-size:14px;background-color:#ffffff;"">根据用户和运营数据反馈，持续调整线上运营策略</span></span>；</span> &#13;\n</p>&#13;\n<p>&#13;\n\t3、能够独立运营微信公众号、微信社群、微信个人号，为粉丝策划与提供优质、有高度传播性的内容；&#13;\n</p>&#13;\n<p>&#13;\n\t4、负责策划并执行微信营销线日常活动及跟踪维护，根据项目发送各种微信内容；&#13;\n</p>&#13;\n<p>&#13;\n\t5、充分了解用户需求，收集用户反馈，分析用户行为及需求；&#13;\n</p>&#13;\n<p>&#13;\n\t6、负责微信公众号、社群、个人号的粉丝增长，及线下的导流；&#13;\n</p>&#13;\n<p>&#13;\n\t7、领导交代的其他工作。&#13;\n</p>&#13;\n<p>&#13;\n\t任职资格:&#13;\n</p>&#13;\n<p>&#13;\n\t1、<span style=""color:#333333;font-size:14px;background-color:#ffffff;"">专科以上学历，广告、市场营销等相关专业者优先；</span> &#13;\n</p>&#13;\n<p>&#13;\n\t2、有<span style=""color:#333333;font-size:14px;background-color:#ffffff;"">新媒体营销工作经验优先</span>；&#13;\n</p>&#13;\n<p>&#13;\n\t3、<span style=""color:#333333;font-size:14px;background-color:#ffffff;"">有社群运营相关工作经验，有百万级社群运营经验者优先；</span> &#13;\n</p>&#13;\n<p>&#13;\n\t<span style=""color:#333333;font-size:14px;background-color:#ffffff;"">4、<span style=""color:#333333;font-size:14px;background-color:#ffffff;"">对新兴事物有激情，学习能力强。</span></span> &#13;\n</p></div>\n\n']"
['上海越赟商务信息咨询有限公司'],['总裁助理'],['上海 '],"['大专,本科,硕士']",['\ued02人'],"['<div class=""nav-fs"">\n</div>\n', '<div class=""in-detail cutom_font&#xA0;""><p>&#13;\n\t</p><p>&#13;\n\t\t1、文案功底好，做事细心，<span style=""font-size:14px;"">负责各类文件的分类呈送， PPT工作报告的制作。</span>&#13;\n\t</p>&#13;\n\t<p>&#13;\n\t\t2、协助总经理进行项目洽谈等工作，协调、组织及跟进项目进展；&#13;\n\t</p>&#13;\n\t<p>&#13;\n\t\t3、<span style=""color:#333333;font-size:14px;background-color:#ffffff;"">负责建立客户信息档案和管理工作，并进行科学的客户关系管理，及时有效地为大客户提供高品质服务以及保证客户满意度；</span>&#13;\n\t</p>&#13;\n\t<p>&#13;\n\t\t4、<span style=""font-size:14px;background-color:#ffffff;"">做好客户的咨询和相关服务，并及时处理客户反馈问题等事宜；</span>&#13;\n\t</p>&#13;\n\t<p>&#13;\n\t\t5、与行业协会、媒体、社团等建立良好的沟通渠道和关系，支持和促进当地公司业务的发展和运营；&#13;\n\t</p>&#13;\n\t<p>&#13;\n\t\t<br/>&#13;\n\t</p>&#13;\n\t<p>&#13;\n\t\t任职要求：&#13;\n\t</p>&#13;\n\t<p>&#13;\n\t\t1、形象气质佳，相关专业专科以上学历；有相关工作经验者优先考虑；&#13;\n\t</p>&#13;\n\t<p>&#13;\n\t\t2、文字组织能力较好，能担当制度起草、对外联络、内务协调、商务谈判等工作；&#13;\n\t</p>&#13;\n\t<p>&#13;\n\t\t3、有较强的组织、协调、沟通、应变能力及敏锐的洞察力，具有很强的判断与决策能力，计划和执行能力；&#13;\n\t</p>&#13;\n\t<p>&#13;\n\t\t4、良好的团队协作精神，工作有条理性、逻辑性；&#13;\n\t</p>&#13;\n\t<p>&#13;\n\t\t5、做事认真负责，注重细节，勇于自我突破和创新。&#13;\n\t</p>&#13;\n&#13;\n<p>&#13;\n\t<br/>&#13;\n</p></div>\n\n']"
['上海越赟商务信息咨询有限公司'],['商务经理'],['上海 '],"['大专,本科,硕士']",['\uf336人'],"['<div class=""nav-fs"">\n</div>\n', '<div class=""in-detail cutom_font&#xA0;""><p>&#13;\n\t1、<span style=""color:#333333;font-size:14px;background-color:#ffffff;"">负责行业、客户及市场信息以及项目的收集和分析、总结。</span>&#13;\n</p>&#13;\n<p>&#13;\n\t2、<span style=""color:#333333;font-size:14px;background-color:#ffffff;"">负责与渠道客户的开拓和沟通，<span style=""color:#333333;font-size:14px;background-color:#ffffff;"">深入挖掘渠道资源，完成商务指标。</span></span>&#13;\n</p>&#13;\n<p>&#13;\n\t<span style=""color:#333333;font-size:14px;background-color:#ffffff;"">3、独立拜访客户并开展商务谈判工作，审核合同条款。</span>&#13;\n</p>&#13;\n<p>&#13;\n\t4、了解市场其它竞品信息，帮助公司不断改善产品设计。&#13;\n</p>&#13;\n<p>&#13;\n\t5、完成领导交给的其他事情&#13;\n</p>&#13;\n<p>&#13;\n\t<strong>任职要求：</strong>&#13;\n</p>&#13;\n<p>&#13;\n\t1、<span style=""color:#333333;font-size:14px;"">大专及以上学历，金融、市场等相关专业优先；</span>&#13;\n</p>&#13;\n<p>&#13;\n\t2、<span style=""color:#333333;font-size:14px;background-color:#ffffff;""><span style=""color:#333333;font-size:14px;background-color:#ffffff;"">\xa0抗压能力、学习能力、沟通表达能力、谈判能力强；</span></span>&#13;\n</p>&#13;\n<p>&#13;\n\t3、具备良好的商务沟通与谈判经验和技巧，出色的沟通协调表达能力；&#13;\n</p>&#13;\n<p>&#13;\n\t4、具备较强项目驱动力，能够对外以及对内跨团队沟通协调，推动新业务的发展；&#13;\n</p>&#13;\n<p>&#13;\n\t<br/>&#13;\n</p></div>\n\n']"
['上海越赟商务信息咨询有限公司'],['新媒体运营'],['上海 '],['不限'],['\ued02人'],"['<div class=""nav-fs"">\n</div>\n', '<div class=""in-detail cutom_font&#xA0;""><p>&#13;\n\t1、熟悉各类热门线上媒体 推荐规则，建立完整、有效的自媒体运营体系，完成新媒体矩阵的搭建，完成新媒体运营指标；&#13;\n</p>&#13;\n<p>&#13;\n\t2、<span style=""color:#333333;font-size:14px;background-color:#ffffff;"">负责线上运营的日常管理工作，内容策划、信息搜集、媒体平台运营数据分析等，<span style=""color:#333333;font-size:14px;background-color:#ffffff;"">搜索引擎优化，<span style=""color:#333333;font-size:14px;background-color:#ffffff;"">根据用户和运营数据反馈，持续调整线上运营策略</span></span>；</span> &#13;\n</p>&#13;\n<p>&#13;\n\t3、能够独立运营微信公众号、微信社群、微信个人号，为粉丝策划与提供优质、有高度传播性的内容；&#13;\n</p>&#13;\n<p>&#13;\n\t4、负责策划并执行微信营销线日常活动及跟踪维护，根据项目发送各种微信内容；&#13;\n</p>&#13;\n<p>&#13;\n\t5、充分了解用户需求，收集用户反馈，分析用户行为及需求；&#13;\n</p>&#13;\n<p>&#13;\n\t6、负责微信公众号、社群、个人号的粉丝增长，及线下的导流；&#13;\n</p>&#13;\n<p>&#13;\n\t7、领导交代的其他工作。&#13;\n</p>&#13;\n<p>&#13;\n\t任职资格:&#13;\n</p>&#13;\n<p>&#13;\n\t1、<span style=""color:#333333;font-size:14px;background-color:#ffffff;"">专科以上学历，广告、市场营销等相关专业者优先；</span> &#13;\n</p>&#13;\n<p>&#13;\n\t2、有<span style=""color:#333333;font-size:14px;background-color:#ffffff;"">新媒体营销工作经验优先</span>；&#13;\n</p>&#13;\n<p>&#13;\n\t3、<span style=""color:#333333;font-size:14px;background-color:#ffffff;"">有社群运营相关工作经验，有百万级社群运营经验者优先；</span> &#13;\n</p>&#13;\n<p>&#13;\n\t<span style=""color:#333333;font-size:14px;background-color:#ffffff;"">4、<span style=""color:#333333;font-size:14px;background-color:#ffffff;"">对新兴事物有激情，学习能力强。</span></span> &#13;\n</p></div>\n\n']"
['上海越赟商务信息咨询有限公司'],['总裁助理'],['上海 '],"['大专,本科,硕士']",['\ued02人'],"['<div class=""nav-fs"">\n</div>\n', '<div class=""in-detail cutom_font&#xA0;""><p>&#13;\n\t</p><p>&#13;\n\t\t1、文案功底好，做事细心，<span style=""font-size:14px;"">负责各类文件的分类呈送， PPT工作报告的制作。</span>&#13;\n\t</p>&#13;\n\t<p>&#13;\n\t\t2、协助总经理进行项目洽谈等工作，协调、组织及跟进项目进展；&#13;\n\t</p>&#13;\n\t<p>&#13;\n\t\t3、<span style=""color:#333333;font-size:14px;background-color:#ffffff;"">负责建立客户信息档案和管理工作，并进行科学的客户关系管理，及时有效地为大客户提供高品质服务以及保证客户满意度；</span>&#13;\n\t</p>&#13;\n\t<p>&#13;\n\t\t4、<span style=""font-size:14px;background-color:#ffffff;"">做好客户的咨询和相关服务，并及时处理客户反馈问题等事宜；</span>&#13;\n\t</p>&#13;\n\t<p>&#13;\n\t\t5、与行业协会、媒体、社团等建立良好的沟通渠道和关系，支持和促进当地公司业务的发展和运营；&#13;\n\t</p>&#13;\n\t<p>&#13;\n\t\t<br/>&#13;\n\t</p>&#13;\n\t<p>&#13;\n\t\t任职要求：&#13;\n\t</p>&#13;\n\t<p>&#13;\n\t\t1、形象气质佳，相关专业专科以上学历；有相关工作经验者优先考虑；&#13;\n\t</p>&#13;\n\t<p>&#13;\n\t\t2、文字组织能力较好，能担当制度起草、对外联络、内务协调、商务谈判等工作；&#13;\n\t</p>&#13;\n\t<p>&#13;\n\t\t3、有较强的组织、协调、沟通、应变能力及敏锐的洞察力，具有很强的判断与决策能力，计划和执行能力；&#13;\n\t</p>&#13;\n\t<p>&#13;\n\t\t4、良好的团队协作精神，工作有条理性、逻辑性；&#13;\n\t</p>&#13;\n\t<p>&#13;\n\t\t5、做事认真负责，注重细节，勇于自我突破和创新。&#13;\n\t</p>&#13;\n&#13;\n<p>&#13;\n\t<br/>&#13;\n</p></div>\n\n']"
['上海越赟商务信息咨询有限公司'],['商务经理'],['上海 '],"['大专,本科,硕士']",['\uf336人'],"['<div class=""nav-fs"">\n</div>\n', '<div class=""in-detail cutom_font&#xA0;""><p>&#13;\n\t1、<span style=""color:#333333;font-size:14px;background-color:#ffffff;"">负责行业、客户及市场信息以及项目的收集和分析、总结。</span>&#13;\n</p>&#13;\n<p>&#13;\n\t2、<span style=""color:#333333;font-size:14px;background-color:#ffffff;"">负责与渠道客户的开拓和沟通，<span style=""color:#333333;font-size:14px;background-color:#ffffff;"">深入挖掘渠道资源，完成商务指标。</span></span>&#13;\n</p>&#13;\n<p>&#13;\n\t<span style=""color:#333333;font-size:14px;background-color:#ffffff;"">3、独立拜访客户并开展商务谈判工作，审核合同条款。</span>&#13;\n</p>&#13;\n<p>&#13;\n\t4、了解市场其它竞品信息，帮助公司不断改善产品设计。&#13;\n</p>&#13;\n<p>&#13;\n\t5、完成领导交给的其他事情&#13;\n</p>&#13;\n<p>&#13;\n\t<strong>任职要求：</strong>&#13;\n</p>&#13;\n<p>&#13;\n\t1、<span style=""color:#333333;font-size:14px;"">大专及以上学历，金融、市场等相关专业优先；</span>&#13;\n</p>&#13;\n<p>&#13;\n\t2、<span style=""color:#333333;font-size:14px;background-color:#ffffff;""><span style=""color:#333333;font-size:14px;background-color:#ffffff;"">\xa0抗压能力、学习能力、沟通表达能力、谈判能力强；</span></span>&#13;\n</p>&#13;\n<p>&#13;\n\t3、具备良好的商务沟通与谈判经验和技巧，出色的沟通协调表达能力；&#13;\n</p>&#13;\n<p>&#13;\n\t4、具备较强项目驱动力，能够对外以及对内跨团队沟通协调，推动新业务的发展；&#13;\n</p>&#13;\n<p>&#13;\n\t<br/>&#13;\n</p></div>\n\n']"
['北京粉笔未来科技有限公司'],['少儿英语教\uf291'],['大连 '],"['本科,硕士,博士']",['若干'],"['<div class=""nav-fs"">\n</div>\n', '<div class=""in-detail cutom_font&#xA0;""><span style=""font-size:16px;color:#6aa84f;"">北京粉笔未来旗下子公司<br/>&#13;\n已成功推出【小猿搜题】、【小猿题库】、【猿辅导】等多款互联网教育类APP<br/>&#13;\n新产品【斑马英语】火热招聘中..</span><span style=""font-size:14px;color:#6aa84f;"">.</span><br/>&#13;\n<span style=""color:#262b33;font-size:14px;background-color:#ffffff;"">--------------------------------------------------</span><br/>&#13;\n<span style=""font-size:14px;color:#ff9900;"">【岗位职责】:</span><br/>&#13;\n<span style=""color:#262b33;font-size:14px;background-color:#ffffff;"">1、\xa0 学习管理,保证学员按时完成学习任务,达成学习目标;\xa0</span><br/>&#13;\n<span style=""color:#262b33;font-size:14px;background-color:#ffffff;"">2、\xa0 学习辅导,针对学生每日学习任务纠正语音,指导学习方法；</span><br/>&#13;\n<span style=""color:#262b33;font-size:14px;background-color:#ffffff;"">3、\xa0 家长沟通,了解家长满意度、学习需求和问题;并给出系统化学习建议, 规划学习路径，沟通课程续报;</span><br/>&#13;\n<span style=""color:#262b33;font-size:14px;background-color:#ffffff;"">4、\xa0 其他日常教学工作:安排学习任务,制作学习资料、组织活动等。</span><br/>&#13;\n<span style=""font-size:14px;color:#ff9900;"">【岗位要求】:</span><br/>&#13;\n<span style=""color:#262b33;font-size:14px;background-color:#ffffff;"">1、\xa0 本科及以上学历,英语专业优先,发音标准,口语地道流利;</span><br/>&#13;\n<span style=""color:#262b33;font-size:14px;background-color:#ffffff;"">2、\xa0 热爱英语教育行业,喜欢孩子,致力优化中国儿童的英语学习模式;\xa0</span><br/>&#13;\n<span style=""color:#262b33;font-size:14px;background-color:#ffffff;"">3、\xa0 具备良好的沟通能力&amp;服务意识,较强的执行力&amp;抗压能力;\xa0</span><br/>&#13;\n<span style=""color:#262b33;font-size:14px;background-color:#ffffff;"">4、\xa0 有儿童英语教学经验优先。</span><br/>&#13;\n<span style=""font-size:14px;color:#ff9900;"">【福利待遇】：</span><br/>&#13;\n<span style=""color:#262b33;font-size:14px;background-color:#ffffff;"">1、\xa0 高于行业平均水平的薪酬；</span><br/>&#13;\n<span style=""color:#262b33;font-size:14px;background-color:#ffffff;"">2、\xa0 全额足缴的六险一金；</span><br/>&#13;\n<span style=""color:#262b33;font-size:14px;background-color:#ffffff;"">3、\xa0 超长的假期：周末双休，法定节假日休息，五一九天小长假，带薪年假等；</span><br/>&#13;\n<span style=""color:#262b33;font-size:14px;background-color:#ffffff;"">4、\xa0 年度体检；</span><br/>&#13;\n<span style=""color:#262b33;font-size:14px;background-color:#ffffff;"">5、\xa0 年度6000元出国旅游基金；</span><br/>&#13;\n<span style=""color:#262b33;font-size:14px;background-color:#ffffff;"">6、\xa0 年底十三薪；</span><br/>&#13;\n<span style=""color:#262b33;font-size:14px;background-color:#ffffff;"">7、\xa0 每日酸奶零食&amp;免费健身房&amp;部门团建&amp;同事关怀！</span></div>\n\n']"
['北京粉笔未来科技有限公司'],['少儿英语教\uf291'],['青岛 '],"['本科,硕士,博士']",['若干'],"['<div class=""nav-fs"">\n</div>\n', '<div class=""in-detail cutom_font&#xA0;""><span style=""font-size:16px;color:#6aa84f;"">北京粉笔未来旗下子公司<br/>&#13;\n已成功推出【小猿搜题】、【小猿题库】、【猿辅导】等多款互联网教育类APP<br/>&#13;\n新产品【斑马英语】火热招聘中..</span><span style=""font-size:14px;color:#6aa84f;"">.</span><br/>&#13;\n<span style=""color:#262b33;font-size:14px;background-color:#ffffff;"">--------------------------------------------------</span><br/>&#13;\n<span style=""font-size:14px;color:#ff9900;"">【岗位职责】:</span><br/>&#13;\n<span style=""color:#262b33;font-size:14px;background-color:#ffffff;"">1、\xa0 学习管理,保证学员按时完成学习任务,达成学习目标;\xa0</span><br/>&#13;\n<span style=""color:#262b33;font-size:14px;background-color:#ffffff;"">2、\xa0 学习辅导,针对学生每日学习任务纠正语音,指导学习方法；</span><br/>&#13;\n<span style=""color:#262b33;font-size:14px;background-color:#ffffff;"">3、\xa0 家长沟通,了解家长满意度、学习需求和问题;并给出系统化学习建议, 规划学习路径，沟通课程续报;</span><br/>&#13;\n<span style=""color:#262b33;font-size:14px;background-color:#ffffff;"">4、\xa0 其他日常教学工作:安排学习任务,制作学习资料、组织活动等。</span><br/>&#13;\n<span style=""font-size:14px;color:#ff9900;"">【岗位要求】:</span><br/>&#13;\n<span style=""color:#262b33;font-size:14px;background-color:#ffffff;"">1、\xa0 本科及以上学历,英语专业优先,发音标准,口语地道流利;</span><br/>&#13;\n<span style=""color:#262b33;font-size:14px;background-color:#ffffff;"">2、\xa0 热爱英语教育行业,喜欢孩子,致力优化中国儿童的英语学习模式;\xa0</span><br/>&#13;\n<span style=""color:#262b33;font-size:14px;background-color:#ffffff;"">3、\xa0 具备良好的沟通能力&amp;服务意识,较强的执行力&amp;抗压能力;\xa0</span><br/>&#13;\n<span style=""color:#262b33;font-size:14px;background-color:#ffffff;"">4、\xa0 有儿童英语教学经验优先。</span><br/>&#13;\n<span style=""font-size:14px;color:#ff9900;"">【福利待遇】：</span><br/>&#13;\n<span style=""color:#262b33;font-size:14px;background-color:#ffffff;"">1、\xa0 高于行业平均水平的薪酬；</span><br/>&#13;\n<span style=""color:#262b33;font-size:14px;background-color:#ffffff;"">2、\xa0 全额足缴的六险一金；</span><br/>&#13;\n<span style=""color:#262b33;font-size:14px;background-color:#ffffff;"">3、\xa0 超长的假期：周末双休，法定节假日休息，五一九天小长假，带薪年假等；</span><br/>&#13;\n<span style=""color:#262b33;font-size:14px;background-color:#ffffff;"">4、\xa0 年度体检；</span><br/>&#13;\n<span style=""color:#262b33;font-size:14px;background-color:#ffffff;"">5、\xa0 年度6000元出国旅游基金；</span><br/>&#13;\n<span style=""color:#262b33;font-size:14px;background-color:#ffffff;"">6、\xa0 年底十三薪；</span><br/>&#13;\n<span style=""color:#262b33;font-size:14px;background-color:#ffffff;"">7、\xa0 每日酸奶零食&amp;免费健身房&amp;部门团建&amp;同事关怀！</span></div>\n\n']"
['北京粉笔未来科技有限公司'],['少儿英语教\uf291'],['南京 '],"['本科,硕士,博士']",['若干'],"['<div class=""nav-fs"">\n</div>\n', '<div class=""in-detail cutom_font&#xA0;""><span style=""font-size:16px;color:#6aa84f;"">北京粉笔未来旗下子公司<br/>&#13;\n已成功推出【小猿搜题】、【小猿题库】、【猿辅导】等多款互联网教育类APP<br/>&#13;\n新产品【斑马英语】火热招聘中..</span><span style=""font-size:14px;color:#6aa84f;"">.</span><br/>&#13;\n<span style=""color:#262b33;font-size:14px;background-color:#ffffff;"">--------------------------------------------------</span><br/>&#13;\n<span style=""font-size:14px;color:#ff9900;"">【岗位职责】:</span><br/>&#13;\n<span style=""color:#262b33;font-size:14px;background-color:#ffffff;"">1、\xa0 学习管理,保证学员按时完成学习任务,达成学习目标;\xa0</span><br/>&#13;\n<span style=""color:#262b33;font-size:14px;background-color:#ffffff;"">2、\xa0 学习辅导,针对学生每日学习任务纠正语音,指导学习方法；</span><br/>&#13;\n<span style=""color:#262b33;font-size:14px;background-color:#ffffff;"">3、\xa0 家长沟通,了解家长满意度、学习需求和问题;并给出系统化学习建议, 规划学习路径，沟通课程续报;</span><br/>&#13;\n<span style=""color:#262b33;font-size:14px;background-color:#ffffff;"">4、\xa0 其他日常教学工作:安排学习任务,制作学习资料、组织活动等。</span><br/>&#13;\n<span style=""font-size:14px;color:#ff9900;"">【岗位要求】:</span><br/>&#13;\n<span style=""color:#262b33;font-size:14px;background-color:#ffffff;"">1、\xa0 本科及以上学历,英语专业优先,发音标准,口语地道流利;</span><br/>&#13;\n<span style=""color:#262b33;font-size:14px;background-color:#ffffff;"">2、\xa0 热爱英语教育行业,喜欢孩子,致力优化中国儿童的英语学习模式;\xa0</span><br/>&#13;\n<span style=""color:#262b33;font-size:14px;background-color:#ffffff;"">3、\xa0 具备良好的沟通能力&amp;服务意识,较强的执行力&amp;抗压能力;\xa0</span><br/>&#13;\n<span style=""color:#262b33;font-size:14px;background-color:#ffffff;"">4、\xa0 有儿童英语教学经验优先。</span><br/>&#13;\n<span style=""font-size:14px;color:#ff9900;"">【福利待遇】：</span><br/>&#13;\n<span style=""color:#262b33;font-size:14px;background-color:#ffffff;"">1、\xa0 高于行业平均水平的薪酬；</span><br/>&#13;\n<span style=""color:#262b33;font-size:14px;background-color:#ffffff;"">2、\xa0 全额足缴的六险一金；</span><br/>&#13;\n<span style=""color:#262b33;font-size:14px;background-color:#ffffff;"">3、\xa0 超长的假期：周末双休，法定节假日休息，五一九天小长假，带薪年假等；</span><br/>&#13;\n<span style=""color:#262b33;font-size:14px;background-color:#ffffff;"">4、\xa0 年度体检；</span><br/>&#13;\n<span style=""color:#262b33;font-size:14px;background-color:#ffffff;"">5、\xa0 年度6000元出国旅游基金；</span><br/>&#13;\n<span style=""color:#262b33;font-size:14px;background-color:#ffffff;"">6、\xa0 年底十三薪；</span><br/>&#13;\n<span style=""color:#262b33;font-size:14px;background-color:#ffffff;"">7、\xa0 每日酸奶零食&amp;免费健身房&amp;部门团建&amp;同事关怀！</span></div>\n\n']"
['北京粉笔未来科技有限公司'],['儿童英语老\uf291'],['济南 '],['本科'],['\ue7aa\uf61c人'],"['<div class=""nav-fs"">\n</div>\n', '<div class=""in-detail cutom_font&#xA0;""><p>&#13;\n\t<br/>&#13;\n</p>&#13;\n<p>&#13;\n\tl\xa0 岗位职责:&#13;\n</p>&#13;\n<p>&#13;\n\t1、\xa0 学习管理,保证学员按时完成学习任务,达成学习目标;\xa0&#13;\n</p>&#13;\n<p>&#13;\n\t2、\xa0 学习辅导,针对学生每日学习任务纠正语音,指导学习方法；&#13;\n</p>&#13;\n<p>&#13;\n\t3、\xa0 家长沟通,了解家长满意度、学习需求和问题;并给出系统化学习建议, 规划学习路径，沟通课程续报;&#13;\n</p>&#13;\n<p>&#13;\n\t4、\xa0 其他日常教学工作:安排学习任务,制作学习资料、组织活动等。&#13;\n</p>&#13;\n<p>&#13;\n\tl\xa0 岗位要求:&#13;\n</p>&#13;\n<p>&#13;\n\t1、\xa0 本科及以上学历,英语专业优先,发音标准,口语地道流利;&#13;\n</p>&#13;\n<p>&#13;\n\t2、\xa0 热爱英语教育行业,喜欢孩子,致力优化中国儿童的英语学习模式;\xa0&#13;\n</p>&#13;\n<p>&#13;\n\t3、\xa0 具备良好的沟通能力&amp;服务意识,较强的执行力&amp;抗压能力;\xa0&#13;\n</p>&#13;\n<p>&#13;\n\t4、\xa0 有儿童英语教学经验优先。&#13;\n</p>&#13;\n<p>&#13;\n\tl\xa0 福利待遇：&#13;\n</p>&#13;\n<p>&#13;\n\t1、\xa0 高于行业平均水平的薪酬；&#13;\n</p>&#13;\n<p>&#13;\n\t2、\xa0 全额足缴的六险一金；&#13;\n</p>&#13;\n<p>&#13;\n\t3、\xa0 超长的假期：周末双休，法定节假日休息，五一九天小长假，带薪年假等；&#13;\n</p>&#13;\n<p>&#13;\n\t4、\xa0 年度体检；&#13;\n</p>&#13;\n<p>&#13;\n\t5、\xa0 年度<span>6000</span>元出国旅游基金；&#13;\n</p>&#13;\n<p>&#13;\n\t6、\xa0 年底十三薪；&#13;\n</p>&#13;\n<p>&#13;\n\t7、\xa0 每日酸奶零食&amp;免费健身房&amp;部门团建&amp;同事关怀！&#13;\n</p></div>\n\n']"
