uper,href,describe,upload_time,duration,viewcount,upscount,downscount,rel_uper,rel_title,rel_href,rel_count
TED,/watch?v=8jPQjjsBbIc&list=PLOGi5-fAu8bHaEGV52hSzl8QeUM4933Xy&index=2&t=0s,"You\'re not at your best when you\'re stressed. In fact, your brain has evolved over millennia to release cortisol in stressful situations, inhibiting rational, logical thinking but potentially helping you survive, say, being attacked by a lion. Neuroscientist Daniel Levitin thinks there\'s a way to avoid making critical mistakes in stressful situations, when your thinking becomes clouded — the pre-mortem. ""We all are going to fail now and then,"" he says. ""The idea is to think ahead to what those failures might be.""\n\nGet TED Talks recommended just for you! Learn more at ', "".\n\nThe TED Talks channel features the best talks and performances from the TED Conference, where the world's leading thinkers and doers give the talk of their lives in 18 minutes (or less). Look for talks on Technology, Entertainment and Design -- plus science, business, global issues, the arts and more.\n\nFollow TED on Twitter: "", '\nLike TED on Facebook: ', '\n\nSubscribe to our channel: ",2015年11月23日发布,0:16,"9,683,530 次观看","""90,438""","""7,476""","[TED, TED, Albert, Stanford, Motiversity, Tom, Goalcast, TEDx, Video, metaRising, TEDx, Fearless, TED, TED, TEDx, TED, TED, TEDx, TED, TEDx]","[帕米拉·梅尔：别对我撒谎, Who are you, really? The puzzle of personality | Brian Little, [], Think Fast, Talk Smart: Communication Techniques, RICH VS POOR MINDSET | An Eye Opening Interview with Robert Kiyosaki, How to Properly Manage Your Money Like the Rich | Tom Ferry, Top 5 Most POWERFUL Speeches You Need To Hear Today | Goalcast, The most important lesson from 83,000 brain scans | Daniel Amen | TEDxOrangeCoast, [], Banned TEDTalk about Psychic Abilities | Russell Targ | suespeaks.org, 自信的技巧 - 伊万•约瑟夫博士 - TEDxRyersonU, Learn How To Control Your Mind (USE This To BrainWash Yourself), 戴维.爱泼斯坦: 运动员们真的在做到更高，更快，更强吗？, 苏珊·凯恩：内向性格的力量, Beautiful minds are free from fear: Robert Grant at TEDxOrangeCoast, 朱利安·特瑞雪: 怎样说话人们才会听, Inside the mind of a master procrastinator | Tim Urban, How to motivate yourself to change your behavior | Tali Sharot | TEDxCambridge, This is what happens when you reply to spam email | James Veitch, How to Have a Good Conversation | Celeste Headlee | TEDxCreativeCoast]","/watch?v=P_6vDLq64gE', '/watch?v=qYvXk_bqlBk', '/watch?v=1RA2Zy_IZfQ', '/watch?v=HAnw168huqA', '/watch?v=az6NibAUf7Y', '/watch?v=wJB90G-tsgo', '/watch?v=k6hTa5ti35E', '/watch?v=esPRsT-lmw8', '/watch?v=j1p2PbfNk0c', '/watch?v=hBl0cwyn5GY', '/watch?v=w-HYZv6HzAs', '/watch?v=v7KQsS2kLM4', '/watch?v=8COaMKbNrX0', '/watch?v=c0KYU2j0TM4', '/watch?v=1XDpa2HLXV0', '/watch?v=eIho2S0ZahI', '/watch?v=arj7oStGLkU', '/watch?v=xp0O2vi8DX4', '/watch?v=_QdPW8JrYzQ', '/watch?v=H6n3iNh4XLI","16,459,341', '4,904,616', '9,293,650', '15,761,078', '809,746', '8,722,881', '283,964', '9,203,467', '3,957,656', '4,045,965', '16,837,487', '6,730,705', '5,701,967', '9,357,575', '1,704,350', '22,685,025', '22,206,907', '3,920,355', '41,393,025', '4,174,799"
TED,/watch?v=Ks-_Mh1QhMc&list=PLOGi5-fAu8bHaEGV52hSzl8QeUM4933Xy&index=3&t=0s,肢体语言影响着他人对我们的看法，但同时它也影响着我们对自己的看法。社会心理学家Amy Cuddy表示“有力的姿势”--以一个自信的方式站着，即使我们不感到自信--他们也能够影响我们脑内的睾丸酮和可的松含量，甚至可以爆发性地推动我们成功的机会。,2012年10月1日发布,1:15,"16,836,822 次观看","""231,449""","""4,655""","[TED, TEDx, JR, TheArchangel911, Eden, TEDx, Harvard, Mike, Charisma, TED, UnchartedX, Inspiring, TED, BRIGHT, TEDx, TEDx, TED, JoshuaG, TED, Speak]","[Dan Pink - 出人意料的工作动机, 如何停止把自己繼續搞爛：梅爾．羅賓斯 TEDx舊金山, 我的英文學習經歷：在家也可以練出一口道地美語 How I Learned English, Jordan Peterson - What is consciousness &amp; how does it relate to the brain?, Learn English Through Story - The Stranger by Norman Whitney, Think Fast. Talk Smart | Matt Abrahams | TEDxMontaVistaHighSchool, J.K. Rowling Speaks at Harvard Commencement, Graphology or Handwriting Analysis, 5 Psychological Tricks You’re Not Taught In School, 吉姆•霍尔特: 宇宙为何会存在？, The case for re-writing history! New evidence, an introduction to UnchartedX, Dr. Myles Munroe - HOW TO BECOME A LEADER Break away from your struggling mindset. POWERFUL, [""The future we're building -- and boring | Elon Musk""], A Simple Test Will Show If You Are a Genuine Introvert, Beautiful minds are free from fear: Robert Grant at TEDxOrangeCoast, The Skill of Humor | Andrew Tarvin | TEDxTAMU, How language shapes the way we think | Lera Boroditsky, Steve Jobs Stanford Commencement Speech 2005, 西蒙西·内克: 为什么好的领导能给你安全感？, Understand FAST English Conversations [Advanced Listening Lesson]]","/watch?v=rrkrvAUbU9Y', '/watch?v=Lp7E973zozc', '/watch?v=D3o5cZC7Gz4', '/watch?v=wNngMcJ8EYY', '/watch?v=1Iv-Ttr_Xm8', '/watch?v=o3K_HbpWNpg', '/watch?v=wHGqp8lz36c', '/watch?v=-t97HJvr9K0', '/watch?v=lykvHGNo9yE', '/watch?v=zORUUqJd81M', '/watch?v=-w7gzIQAHf0', '/watch?v=1FMUysy5fss', '/watch?v=zIwLWfaAg-8', '/watch?v=FXATwX5bVp8', '/watch?v=1XDpa2HLXV0', '/watch?v=MdZAMSyn_As', '/watch?v=RKK7wGAYP6k', '/watch?v=D1R-jKKp3NA', '/watch?v=lmyZMtPVodo', '/watch?v=nRiHKI_8u0A","8,372,699', '20,260,282', '2,285,718', '231,794', '4,478,561', '2,811,671', '4,255,011', '2,168,147', '706,866', '4,844,892', '324,991', '3,146,276', '9,545,531', '6,805,192', '1,704,350', '5,255,607', '4,352,301', '10,662,199', '4,037,735', '5,138,175"
TED,/watch?v=eIho2S0ZahI&list=PLOGi5-fAu8bHaEGV52hSzl8QeUM4933Xy&index=4&t=0s,你有没有曾经感到过你在说但是没人在听？朱利安·特瑞雪来帮忙了。在这个有用的演讲里，这位声音专家演示了如何进行有力的讲话——从一些方便实用的嗓音练习到如何动情演讲的小技巧。一个能帮助世界听起来更美好的演说。,2014年6月27日发布,0:57,"22,685,025 次观看","""369,334""","""7,633""","[TED, Albert, Emmanuel, Stanford, TEDx, Mark, Tom, TopThink, Charisma, Video, Talks, Goalcast, Be, EASY, Motiversity, Conor, TED, TED, TEDx, AlexKaltsMotivation]","[帕米拉·梅尔：别对我撒谎, [], Arnold Schwarzenegger 2019 - The speech that broke the internet - Motivational &amp; Inspiring, Think Fast, Talk Smart: Communication Techniques, 自信的技巧 - 伊万•约瑟夫博士 - TEDxRyersonU, Body Language Expert Keynote Mark Bowden at TEDx Toronto — The Importance Of Being Inauthentic, How to Properly Manage Your Money Like the Rich | Tom Ferry, 15 Psychological Facts That Will Blow Your Mind!, How To Avoid Embarrassing Yourself In An Argument  - Jordan Peterson, [], [], Top 5 Most POWERFUL Speeches You Need To Hear Today | Goalcast, [""The World's Darkest Secrets | YOU WON'T BELIEVE WHAT IS ACTUALLY HAPPENING!""], English subtitle | The First Presidential Debate Hillary Clinton And Donald Trump, RICH VS POOR MINDSET | An Eye Opening Interview with Robert Kiyosaki, How to Start a Speech, Who are you, really? The puzzle of personality | Brian Little, Inside the mind of a master procrastinator | Tim Urban, How to Talk Like a Native Speaker | Marc Green | TEDxHeidelberg, WATCH THIS EVERYDAY AND CHANGE YOUR LIFE - Denzel Washington Motivational Speech 2019]","/watch?v=P_6vDLq64gE', '/watch?v=1RA2Zy_IZfQ', '/watch?v=eWJVvNptHZ4', '/watch?v=HAnw168huqA', '/watch?v=w-HYZv6HzAs', '/watch?v=rk_SMBIW1mg', '/watch?v=wJB90G-tsgo', '/watch?v=7pDxQPWD3L4', '/watch?v=nS9W-wlJHPA', '/watch?v=j1p2PbfNk0c', '/watch?v=vsMydMDi3rI', '/watch?v=k6hTa5ti35E', '/watch?v=QUr6eN9-NlE', '/watch?v=Iq37sj3GA7I', '/watch?v=az6NibAUf7Y', '/watch?v=w82a1FT5o88', '/watch?v=qYvXk_bqlBk', '/watch?v=arj7oStGLkU', '/watch?v=Ti_gFEe1XNY', '/watch?v=tbnzAVRZ9Xc","16,459,341', '9,293,650', '6,337,151', '15,761,078', '16,837,487', '1,311,242', '8,722,881', '4,234,543', '7,712,777', '3,957,656', '5,068,700', '283,964', '2,953,826', '430,255', '809,746', '10,637,506', '4,904,616', '22,206,907', '2,085,729', '4,958,531"
TED,/watch?v=R1vskiVDwl4&list=PLOGi5-fAu8bHaEGV52hSzl8QeUM4933Xy&index=5&t=0s,"When your job hinges on how well you talk to people, you learn a lot about how to have conversations — and that most of us don\'t converse very well. Celeste Headlee has worked as a radio host for decades, and she knows the ingredients of a great conversation: Honesty, brevity, clarity and a healthy amount of listening. In this insightful talk, she shares 10 useful rules for having better conversations. ""Go out, talk to people, listen to people,"" she says. ""And, most importantly, be prepared to be amazed.""\n\nTEDTalks is a daily video podcast of the best talks and performances from the TED Conference, where the world\'s leading thinkers and doers give the talk of their lives in 18 minutes (or less). Look for talks on Technology, Entertainment and Design -- plus science, business, global issues, the arts and much more.\nFind closed captions and translated subtitles in many languages at ', '\n\nFollow TED news on Twitter: ', '\nLike TED on Facebook: ', '\n\nSubscribe to our channel: ",2016年3月8日发布,11:44,"7,239,975 次观看","""161,800""","""2,411""",[TEDx],[The Skill of Humor | Andrew Tarvin | TEDxTAMU],/watch?v=MdZAMSyn_As,"5,255,607"
TED,/watch?v=5aH2Ppjpcho&list=PLOGi5-fAu8bHaEGV52hSzl8QeUM4933Xy&index=6&t=0s,是什么促使我们工作？ 与传统观念不同，金钱并非唯一动力，但也并非仅仅是快乐。似乎我们大多数人是通过不断进步并且感受目标性而取得成功。行为经济学家 Dan Ariely 像我们展示了两项极具启发性的实验，揭示了我们对于工作意义的出乎意料而又微妙的态度。 （摄于 TEDxRiodelaPlata）,2013年4月10日发布,20:26,"712,659 次观看","""8,175""","""152""",[Talks],[Dan Ariely: On Dating &amp; Relationships | Talks at Google],/watch?v=RS8R2TKrYi0,"291,353"
TED,/watch?v=jiDQDLnEXdA&list=PLOGi5-fAu8bHaEGV52hSzl8QeUM4933Xy&index=7&t=0s,"Given the choice between a job candidate with a perfect resume and one who has fought through difficulty, human resources executive Regina Hartley always gives the ""Scrapper"" a chance. As someone who grew up with adversity, Hartley knows that those who flourish in the darkest of spaces are empowered with the grit to persist in an ever-changing workplace. ""Choose the underestimated contender, whose secret weapons are passion and purpose,"" she says. ""Hire the Scrapper.""\n\nTEDTalks is a daily video podcast of the best talks and performances from the TED Conference, where the world\'s leading thinkers and doers give the talk of their lives in 18 minutes (or less). Look for talks on Technology, Entertainment and Design -- plus science, business, global issues, the arts and much more.\nFind closed captions and translated subtitles in many languages at ', '\n\nFollow TED news on Twitter: ', '\nLike TED on Facebook: ', '\n\nSubscribe to our channel: ",2015年12月21日发布,10:31,"461,738 次观看","""6,498""","""219""",[TED],[Inside the mind of a master procrastinator | Tim Urban],/watch?v=arj7oStGLkU,"22,206,907"
Work It Daily,/watch?v=Y95eI-ek_E8&list=PLhrBmkjLNq1U9D_PVJpUNzh9qFxsNmEwo&index=2&t=0s,"Free Tutorial: ', '\n\nWant to know what smart interview questions you should ask hiring managers in a job interview? You\'re in the right place.  \n\nOne of the most IMPORTANT job interview questions is actually, ""Do you have any questions for me?"" Answer it wrong, and you\'ll DESTROY your chances of getting the job.\n\nHiring managers expect you to have interview questions of your OWN when you come in for a job interview. It shows that you value yourself enough to make sure this company is the right fit for you.\n\nIn this tutorial, career expert J.T. O\'Donnell reveals eight smart questions you should ALWAYS ask during job interviews...\n\nWant to hear all 8 ways you are being shut out of the hiring process? Click this link and get access to J.T.\'s FREE VIDEO on what it takes to remove the roadblocks to job search. ', '\n\nFollow Work It Daily:\n', '\n', '\n', '\n', '\n\n', ' ', ' ",2017年11月15日发布,8:48,"2,258,774 次观看","""57,621""","""1,381""",[Work],[2 Job Interview Mistakes EVERYONE Makes (And How To Avoid Them)],/watch?v=6KnJtVnE_FA,"787,665"
Work It Daily,/watch?v=6KnJtVnE_FA&list=PLhrBmkjLNq1U9D_PVJpUNzh9qFxsNmEwo&index=3&t=0s,"[""8 Ways You're Being Shut Out Of The Hiring Process: "", ""\n\nWork It Daily's free job search resource: "", ""\n\nAvoiding these two common mistakes in interviews can be the difference between getting that second interview and being shown the door. \n\nIn this short tutorial, J.T. O'Donnell shares what those things are and how to avoid them in future interviews.\n\nWant to hear all 8 ways you are being shut out of the hiring process? Click this link and get access to J.T.'s FREE VIDEO on what it takes to remove the roadblocks to job search.\n\n___________________________________________\n\n8 Ways You're Being Shut Out Of The Hiring Process: "", '\n\n', '\n\nAnd, if you want J.T. and her team to help you become a pro at interviewing, negotiating and more, then you need to check out our career support platform.\n\nWant to learn more about our affordable Premium Subscription?\nGo Here: ', '\n\nFollow Work It Daily:\n', '\n', '\n', '...\n', '\n\n', ' ', ' ",2017年10月25日发布,4:11,"787,741 次观看","""12,296""","""390""",[Work],[[]],/watch?v=-1umUFfIicY,"615,953"
Work It Daily,/watch?v=-1umUFfIicY&list=PLhrBmkjLNq1U9D_PVJpUNzh9qFxsNmEwo&index=4&t=0s,"Subscribe to our newsletter: ', '\n\nWhile you’ll likely get thrown a few curveball questions during your interviews, there are some basic interview questions you should expect.\n\nOne of those questions is, “Why do you want this job?”\n\nIf you don’t have a good answer for this, you can kiss your chances at getting hired goodbye.\n\nWhat you need to do is showcase your connection story.\n\nWhat do you respect, appreciate, or admire about this company, over ANY other company? Show them that you want to work here for more than just a paycheck. Show them that you have a personal connection with it, which is a big part of the reason you’re pursuing the role.\n\nAre you looking to get more advice to help you stay motivated in your job search and career? Then be sure to subscribe to our newsletter here to get this advice directly in your inbox.  \n', '\n\nYou know that there are 8 ways that you could be falling short during the hiring process that are costing you the job? Find out what they are by watching our free tutorial: ', '\n\nFollow Work It Daily:\n', '\n', '\n', '\n', '\n\n', ' ', ' ",2018年6月12日发布,4:34,"616,089 次观看","""12,550""","""473""",[Work],[How To Answer Any Behavioral Interview Question],/watch?v=gOBCQ9Di0Bo,"531,745"
Work It Daily,/watch?v=gOBCQ9Di0Bo&list=PLhrBmkjLNq1U9D_PVJpUNzh9qFxsNmEwo&index=5&t=0s,"[""Work It Daily's Free Job Search Resource: "", '\n\n8 Smart Questions To Ask Hiring Managers: ', ""\n\nDon't get STUMPED by tricky interview questions! Instead, learn how to answer them effectively. In this video, career expert J.T. O'Donnell reveals her SECRET to answering behavior interview questions so you can crush your job interviews every time.\n\nA behavioral interview questions is an open-ended questions, meaning it doesn't result in a one-word answer like “yes” or “no.” \n\nInstead, it requires the interviewee to elaborate and give a more personalized answer. Hiring managers use behavioral interview questions to help determine if candidates have the skills or experience to do the job.\n\nThe best way to answer these types of questions is to structure your answers using the Experience, Learn, and Grow model. \n\nExperience + Learn = Grow. \n\n- Explain your experience. Share a situation you dealt with in the past. What was the problem or challenge that had to be overcome? \n\n- Talk about how you overcame it and how you accomplished it.\n\n- Explain how you’re going to take this lesson and use it to keep growing as professional so you can add even more value in similar situations in the future. \n\nHere are some common behavioral interview questions you could get asked in your next interview:\n\n - What's your greatest accomplishment on the job?\n\n- Tell me about a difficult situation you encountered and how you overcame it.\n\n- If I was to ask a co-worker about you, how would they describe you on-the-job?\n\n- If someone came to you with an enthusiastic, yet unrealistic request, how would you handle it?\n\nTake these three questions and start practicing structuring your answers using the Experience, Learn, and Grow method. \n\n__________________________________\n\nIf you’re having a hard time even getting interviews, check out our free resource that could help address some issues that could be holding you back. \n"", '\n\nAnd, if you want J.T. and her team to help you become a pro at interviewing, negotiating and more, then you need to check out our Premium Subscription: \n', '\n\nFollow Work It Daily:\n', '\n', '\n', '\n', '\n\n', ' ', ' ",2018年2月7日发布,6:15,"531,805 次观看","""10,704""","""210""",[Work],[3 Things Hiring Managers Want To Know About You],/watch?v=RTvYvZ9VHDc,"397,423"
